time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.7200000000000003,-1.18063679798,0.149915157848,0.0,4.61412425135,2.6645856221,0.0,-2.8282642451,-0.108836844399,-5.10446044787,-7.70322463842,13.7836385411,0.0,397.79212012,524.677197112,417.000068721,317.321702832,1,36.0
0.7800000000000004,-1.35469140579,0.161670788082,0.0,4.14319211316,3.41298726137,0.0,-2.95931931061,0.436391657083,-5.54584434156,-7.68005607009,13.516060726,0.0,377.162723368,557.565366003,392.721638554,314.533242189,2,39.0
0.7200000000000003,-1.18212630994,0.151524814874,0.0,4.61113890843,2.62730661432,0.0,-2.81846043966,-0.126015435295,-5.09913290699,-7.68742961529,13.7210449097,0.0,399.408294905,523.53107446,418.015256261,317.395519818,3,36.0
0.7200000000000003,-1.18106410967,0.153052112039,0.0,4.61570298095,2.59929038834,0.0,-2.8056054673,-0.137951580993,-5.09963644069,-7.67997987891,13.6846851512,0.0,399.371000877,522.51493722,418.487585317,317.408933961,4,36.0
0.7200000000000003,-1.18269853335,0.153622016578,0.0,4.59662414355,2.599964963,0.0,-2.80909853148,-0.13895638242,-5.09953145817,-7.70862332593,13.6820207868,0.0,399.960173573,522.71483167,418.982686218,318.385815437,5,36.0
0.7200000000000003,-1.34042075488,0.415921997754,0.0,4.42231969643,5.41835181542,0.0,-1.50093018677,1.59297373295,-6.05283033223,-7.86293067095,10.177750593,0.0,406.901161744,559.098738853,486.825918243,336.297401412,6,36.0
1.3800000000000008,0.357491820204,4.20257568563,0.0,4.5538386372,3.89127925374,0.0,2.39928174853,3.0365169605,-4.64045310442,-17.3260424315,-19.7611750282,0.0,711.996675407,285.736058545,782.481909105,460.60343772,7,69.0
0.5400000000000001,-0.72306948248,0.380381419456,0.0,1.84874138036,5.64177431377,0.0,-2.69422396083,2.30624639877,-7.06556922448,-12.8695596616,-20.6601983382,0.0,752.201016696,196.929483326,404.452307523,231.947295843,8,27.0
0.6600000000000003,-0.946331220031,-0.640620689083,0.0,3.12130862931,0.796478731419,0.0,-2.44033859336,-0.767148065501,-4.0567888174,-15.4807654723,-20.9276931663,0.0,730.042088442,405.203550954,554.215982218,396.321647194,9,33.0
0.48000000000000015,-0.360585445952,0.367659031952,0.0,3.14817136358,5.25820677354,0.0,-1.79960311722,1.37804934449,-7.64475712279,-8.81363773714,-19.7373593383,0.0,699.15077039,397.965126765,520.815296096,470.204787679,10,24.0
0.48000000000000015,-0.386617501169,-0.460823523731,0.0,0.630231471225,6.16133684377,0.0,-2.54147990299,-0.862687529121,-5.29121916161,-8.14411474382,-16.7671312237,0.0,587.571268667,422.344268899,488.035237764,480.966841755,11,24.0
0.4200000000000001,-0.0983113236559,-0.214544402188,0.0,0.518305096447,0.606009805261,0.0,-1.85841111603,-1.26187865406,-6.8031323013,-3.51574228292,-18.9849665101,0.0,684.323610686,449.812491293,598.148110612,568.62207499,12,21.0
0.6000000000000002,0.746414816989,-1.47003434812,0.0,5.5041957488,4.88955770516,0.0,1.92430402535,-5.67925357062,-4.81819896409,10.4603720139,-19.6480755464,0.0,800.295524974,477.267919708,425.115687377,644.286310911,13,30.0
0.48000000000000015,0.221909449602,-0.244935439594,0.0,3.93946530797,0.418726679139,0.0,-0.239984213671,-2.36043919406,-5.25020955822,13.7400950327,-18.1416860648,0.0,747.153462214,521.016150089,520.84796636,694.116189335,14,24.0
0.6000000000000002,1.42819301163,0.538640241847,0.0,2.21284276148,1.21712281431,0.0,3.69479318185,1.29063381698,-9.29437343944,15.3828398906,-15.989322776,0.0,823.105373021,656.73176076,688.89632099,807.355677398,15,30.0
0.6000000000000002,-3.5105173717,1.06862686312,0.0,5.33737338723,5.43873511155,0.0,-10.4425159573,0.598925084462,-9.84807596138,15.5174420069,-11.6321934187,0.0,876.726284892,802.343134374,613.799016125,844.635101929,16,30.0
0.6000000000000002,-1.88453025769,0.864768370321,0.0,1.65487366075,4.81348370255,0.0,0.379729991085,0.0942827851346,-3.55199869887,7.85635505986,-6.19619033992,0.0,891.534194581,885.040441046,881.711816473,885.90105643,17,30.0
1.9200000000000013,27.077536258,44.423467486,0.0,4.44604258295,4.28332227263,0.0,26.040750954,40.4405763869,-23.5651269935,1.59587917328,-0.721260548419,0.0,899.712103404,900.316580612,899.480857805,899.879525053,18,96.0
5.0399999999999805,-9.22516198771,40.0067483693,121.954786847,0.501418656267,0.315175551795,0.0,-3.7763349179,17.8181266901,22.7536668327,-0.0909708013166,0.353071015499,0.0,899.571926863,899.44244185,900.609989476,900.168218144,19,252.0
3.1800000000000024,-74.4629141276,1.72078159573,0.0,5.65614396014,0.653790193517,0.0,-30.1937489006,0.69139374676,-20.2301355705,-0.351905449055,28.8336486307,0.0,-0.20393681874,899.927664371,900.331444679,898.945888291,20,159.0
0.7800000000000004,0.619206252994,0.325808672379,0.0,3.38507607756,1.75443689501,0.0,0.203258284865,-1.22520560501,-6.66179281308,-19.2904103993,19.4613410012,0.0,707.661295486,899.55100811,899.7597931,604.050379407,21,39.0
0.6600000000000003,-0.505880268241,-0.266555675204,0.0,0.280741773281,0.530940392851,0.0,1.26954065183,0.106981959101,-5.89735140689,-28.7699146663,9.48167460401,0.0,871.861639176,899.581638037,899.359099668,28.4976116377,22,33.0
