time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.46387033215e-08,-5.04745524277e-08,10.0006695963,6.28309684297,2.08537794846e-05,0.0,-1.43969049524e-06,-5.52611053107e-06,0.0223194451054,-0.0045997497545,0.00103384031701,0.0,412.3903085253388,412.48159343207635,410.8006941472603,410.39272739420505
0.12000000000000001,-8.92160741252e-07,-3.65204188071e-06,10.008309489,6.28239560995,0.000100738304796,0.0,-3.621292066e-05,-0.00016480824565,0.232323704399,-0.0322180961948,0.00192005075434,0.0,470.865299387344,470.9338111890907,471.1989110687843,469.0594298774616
0.18,-6.2004186347e-06,-4.10512993962e-05,10.0285476438,6.28044229624,6.28292525617,0.0,-0.000136754908883,-0.00131161153377,0.442222897904,-0.0332380302976,-0.0308034487636,0.0,472.32444551607796,469.7944306471593,470.10232160012987,470.0229581308398
0.23999999999999996,-1.0047093436e-06,-0.000189234241108,10.0597478154,6.27844130068,6.2806648801,0.0,0.000529923601667,-0.0038477931124,0.597712879897,-0.0335746160707,-0.0572246813621,0.0,455.33063193450334,453.2115027545442,454.5325984417706,454.5052139545617
0.3,9.44077420718e-05,-0.000522887688538,10.0980876369,6.27667283758,6.27711931724,0.0,0.00299698605228,-0.00746074647659,0.680232907057,-0.0223290884968,-0.0631163249188,0.0,432.0716772956818,431.5721813491876,431.11947530448964,432.06814761647706
0.36000000000000004,0.000457572035932,-0.00115249559118,10.148321594,6.27597202023,6.27319375301,0.0,0.00962180722274,-0.0136534021829,0.994008555482,0.00388880522094,-0.0704971528806,0.0,500.9902174889372,500.45069176969787,499.68434855576936,501.5917968089016
0.4200000000000001,0.00128815793159,-0.00214037824178,10.2138350838,6.27625430642,6.26919990028,0.0,0.018538872528,-0.0192446837116,1.18958607455,0.00628878613039,-0.0596774862632,0.0,467.07156545536145,467.91141796887115,466.9445474813807,467.13162573608645
0.48000000000000015,0.00270491953787,-0.00343798880303,10.2883786264,6.27659163301,6.26615212688,0.0,0.0290212702531,-0.0239714337252,1.2950798049,0.00425420432402,-0.0372360902172,0.0,439.45509285302654,441.3093267766452,439.8843290685847,439.71573548793845
0.5400000000000001,0.00484463368979,-0.00502619386387,10.3713094551,6.27667064833,6.26451901892,0.0,0.0425114611316,-0.0289476350298,1.46906984552,-0.00532241155303,-0.0123478119469,0.0,460.0851767092981,462.0510206862822,462.2481101195274,461.49288016354865
0.6000000000000002,0.00777980242667,-0.0068976504977,10.4622573873,6.27623418932,6.2640725739,0.0,0.0553835891298,-0.0334713098262,1.56240303556,-0.0114958239689,0.000909024577873,0.0,436.436266253711,437.5413408230572,437.1998946356105,436.6853871190885
0.6600000000000003,0.0115221665915,-0.00906177425572,10.5603830464,6.27572984096,6.2651714203,0.0,0.0692810540691,-0.0387289944389,1.70824625744,-0.00284876900107,0.0402354146168,0.0,452.37268171684104,455.528125704027,452.97016064144873,453.6650598642535
0.7200000000000003,0.0160597651447,-0.011547720485,10.6668904195,6.27512935121,6.26748481364,0.0,0.0817152892647,-0.044168661277,1.84179767679,-0.0308698332206,0.0349685497185,0.0,449.8009021712183,449.3749065427588,452.12587844782735,449.8628504661461
0.7800000000000004,0.0212943674113,-0.0143799353143,10.7814144944,6.27325249886,6.26913813678,0.0,0.0925593665143,-0.0504361097213,1.97545118921,-0.0321157328057,0.00549017052591,0.0,451.6398641484215,449.2563339226489,451.12324421950603,451.0223109859398
0.8400000000000004,0.0271395651022,-0.0176211707425,10.9031796149,6.27095192422,6.26987375698,0.0,0.102220027187,-0.0578165326333,2.08319402338,-0.0552551587161,0.0231898907139,0.0,441.47523313195256,442.93307726082446,445.08584398743557,443.18726989644176
0.9000000000000005,0.033554682075,-0.0213679245063,11.0321313544,6.26766327397,6.27136340206,0.0,0.111459762148,-0.0674243732552,2.2149481292,-0.0539370217503,0.0279159422583,0.0,450.72378956235156,451.1056461095462,451.15755677527665,451.2620030918318
0.9600000000000005,0.0404925309918,-0.0257646110391,11.1691464454,6.26419979541,6.27319736421,0.0,0.119609299498,-0.0794860245742,2.35194547985,-0.0666412701849,0.0353987372045,0.0,452.7159402852142,453.3178892183558,453.91160493845706,452.888682893272
1.0200000000000005,0.0479281001382,-0.0310679179069,11.3197683988,6.26112061904,6.27604360112,0.0,0.127893675745,-0.0977374920007,2.66809751269,-0.0311703243493,0.0644671288813,0.0,504.67031800649363,506.76497822307516,504.64640629137193,507.1985187846531
1.0800000000000005,0.0557530109427,-0.0374632631237,11.4859132652,6.25870172528,6.28038520691,0.0,0.13244860429,-0.115663338294,2.8695787941,-0.073592076046,0.0847204590582,0.0,473.76340941181155,475.321635546145,476.27363632716293,473.01684797177046
1.1400000000000006,0.0637412330753,-0.04498298878,11.6633460897,6.25435877729,0.00277650134218,0.0,0.133216960074,-0.135477753915,3.044387795,-0.0700680295033,0.105708314947,0.0,467.17184789918036,468.812103025477,467.2853491220145,467.5562079996419
1.2000000000000006,0.07164284962,-0.0537910054831,11.8512858793,6.24992607526,0.00881113272387,0.0,0.129467695517,-0.158595569,3.21977686581,-0.0828572503188,0.0875884213372,0.0,469.4448740437665,468.04476496381176,469.41369231760433,468.41616588757716
1.2600000000000007,0.0791818828441,-0.064098152873,12.0499568458,6.24492983703,0.0134664107765,0.0,0.121239344436,-0.185526674369,3.40203761679,-0.0841099494812,0.0290792125367,0.0,474.57540936758846,470.06639238607363,471.500765436621,471.3987548102683
