time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.0400000000000014,2.07189520958,3.04832502402,0.0,2.55168826368,6.25968920825,0.0,2.44142124843,2.10702787113,-21.0333980936,-12.1873596086,8.74973118586,0.0,535.821960828,587.920772382,507.272764636,432.314508647,1,102.0
2.1000000000000014,2.11882787176,3.21794404218,0.0,1.62587913862,6.2286990744,0.0,2.67101895236,3.02985218408,-20.8681631993,-11.5039817442,9.62531709458,0.0,526.472119055,595.328655065,506.107483092,388.753470077,2,105.0
1.9800000000000013,0.80646532662,-0.0382871307204,0.0,4.42839809277,0.173792462553,0.0,1.28684797924,1.31472373314,-24.7006342593,-7.10625891252,9.01288877277,0.0,521.82341971,390.972887719,557.26154823,373.750882793,3,99.0
1.8600000000000012,-1.23723509263,0.593214421156,0.0,2.21368001475,6.19795993071,0.0,-2.22020036625,0.942854940443,-23.215332799,-11.7988057516,-0.700041754797,0.0,429.808016836,344.415089663,524.095164992,388.356791116,4,93.0
2.0400000000000014,0.00949608774134,-0.642750839324,0.0,2.47736900686,0.146320207241,0.0,0.0804182994183,-0.723699374181,-20.5231462445,-12.3176543608,0.428045440715,0.0,348.919374192,335.581952871,543.77886785,414.458282135,5,102.0
2.0400000000000014,-0.0345102811466,0.0771758477191,0.0,4.25672988908,1.13320125062,0.0,-0.726424062133,-0.375993272557,-25.0955773949,-5.81639339456,3.31430212855,0.0,315.939465477,307.192517098,492.639623531,377.188068318,6,102.0
1.8000000000000012,0.694568097637,0.0234606853599,0.0,6.18491864772,2.87064352749,0.0,2.35840286114,0.0474953063362,-28.8192377384,-2.00053615621,7.46967298755,0.0,168.176208352,404.979133433,300.556117231,258.289422934,7,90.0
1.740000000000001,0.573287155723,0.0115021087187,0.0,6.26597808961,1.37554376249,0.0,1.83452327463,0.0401866393064,-29.6181415281,-1.06506557873,4.33166036198,0.0,308.170935696,397.416155741,395.117034235,367.178941733,8,87.0
1.740000000000001,0.377140909281,0.0137372941888,0.0,6.26342438894,0.951395861341,0.0,2.18758036919,0.0485615263193,-31.3161024964,-0.864040360121,3.46652876245,0.0,315.048418468,394.17118515,388.985786003,374.316809451,9,87.0
1.740000000000001,0.329967834105,0.0149450300311,0.0,6.26005764338,0.818690243387,0.0,2.20190921709,0.0600601614978,-31.8950802973,-0.804463048636,3.13208655327,0.0,314.004200846,388.233752288,386.243463148,375.378440593,10,87.0
1.740000000000001,0.292624248038,0.011053458748,0.0,6.27798458432,0.728893022353,0.0,2.23525349792,0.0255953972659,-32.488323937,-1.00495542286,2.91195299462,0.0,232.188643043,329.508469199,309.563170523,264.987802795,11,87.0
1.740000000000001,0.238321609589,0.0165310139763,0.0,6.2672735535,0.57128315554,0.0,1.93716650065,0.0558677440177,-32.7923321943,-0.566379409689,2.38054549429,0.0,322.879784284,374.739718255,387.468107448,386.203968234,12,87.0
1.740000000000001,0.211803921335,-0.00134929953677,0.0,6.27452989609,0.440238898132,0.0,1.80597600377,-0.0310324425332,-33.9103677684,-0.573066265901,1.97069930969,0.0,238.71834194,324.057023479,308.231943341,276.812470695,13,87.0
1.740000000000001,0.232754015789,-0.0115259026063,0.0,0.0308461552565,0.610812779517,0.0,2.08503298981,-0.153312052136,-33.0564013173,-0.201616825934,2.43018555033,0.0,236.986515641,328.693532621,308.019740062,288.472825839,14,87.0
1.740000000000001,0.0691240239733,-0.00925960383664,0.0,0.0333251479206,0.213607383797,0.0,0.693040675841,-0.0894912571667,-34.7218573163,0.322061203632,1.29187453483,0.0,239.397944078,321.510491712,302.408900993,311.25888631,15,87.0
1.740000000000001,0.0493144584588,-0.336318722708,0.0,0.991650279759,0.383809592545,0.0,0.505728517161,-3.17093905523,-30.8434395137,3.78454872475,2.02398469036,0.0,226.677788936,344.925507847,312.084358191,408.869318499,16,87.0
2.0400000000000014,-1.41232420968,0.218141676351,0.0,0.247733512667,1.46423901817,0.0,-2.41948347449,-0.0394963347127,-20.0530391308,19.1950888755,11.7119036506,0.0,186.931967368,342.15442516,611.137077114,810.194886407,17,102.0
1.680000000000001,0.150280561627,-2.96800863251,0.0,2.52392907245,5.31711415111,0.0,0.191851590838,-1.76443148742,-21.1505372759,5.92639246591,20.3285403925,0.0,218.287291947,526.256591879,762.326372232,766.809164755,18,84.0
2.3400000000000016,-2.38242913342,-0.0747609787969,0.0,1.08290293793,5.21465196457,0.0,0.497620380031,-0.687336170631,-20.1089496837,3.53587721621,17.828890947,0.0,456.633991216,537.111913896,748.202941841,798.768882417,19,117.0
2.3400000000000016,-2.42750147142,-0.178393048067,0.0,1.28173697455,5.58356338106,0.0,0.612517274986,-0.959885279924,-19.7185311692,3.56324751542,17.8781396295,0.0,466.1879158,537.739297193,750.342732091,803.115756819,20,117.0
2.3400000000000016,-2.4030651755,-0.272124551831,0.0,1.43753162986,5.76129791322,0.0,0.570183820391,-1.15430927827,-19.4707861397,3.75857675136,17.9543964937,0.0,466.878493317,535.941608887,746.230920004,805.365627405,21,117.0
2.3400000000000016,-2.40191783198,-0.0767694524415,0.0,1.03508769586,5.40317863928,0.0,0.610967592436,-0.563081875726,-20.0924188783,3.48390954171,18.1256711622,0.0,472.189083539,559.229474822,757.350479096,808.724870698,22,117.0
